Time,NL_563_01_RH61[°C],NL_563_01_RH61[%],NL_563_01_RH61[°C],NL_563_01_RH61[%],NL_563_01_RH90[°C],NL_563_01_RH90[%],NL_563_01_RT61[°C],NL_563_01_RT61[°C],NL_563_01_RT91[°C],NL_563_01_RT91[°C],NL_563_01_RT61[°C],NL_563_01_RT61[°C],NL_563_01_RT91[°C],NL_563_01_RT91[°C],NL_563_01_RR61,NL_563_01_RR61,NL_563_01_RR91,NL_563_01_RR91,NL_563_01_RR61,NL_563_01_RR61,NL_563_01_RR91,NL_563_01_RR91,NL_360_01_Term,NL_360_01_Term,NL_Radiator_Te,NL_433_01_Cons[kWh],NL_433_01_Effe,NL_433_09_Cons[kWh],NL_433_09_Effe[kW],NL_434_01_Q15_[kWh],NL_434_01_Q15_[kW],NL_434_01_Q01_[kWh],NL_434_01_Q01_[kW],NL_563_01_RHLa[°C],NL_563_01_RHLa[%],NL_563_01_RHLa[ppm],RH61054_T_PV[°C],RH61054_RH_PV[%],RHLager2_T_PV[°C],RHLager2_RH_PV[%],RHLager2_CO2_P[ppm],RHLager3_T_PV[°C],RHLager3_RH_PV[%],RHLager3_CO2_P[ppm],RR61054_1_flux,RR61054_2_flux,RR91054_1_flux,RR91054_2_flux,RT61054_1_PV,RT61054_2_PV,RT91054_1_PV,RT91054_2_PV,RR61054_1_PV,RR61054_2_PV,RR91054_1_PV,RR91054_2_PV,NL_Radiator_Te
2018-04-02 00:00:01,22.89,20.90,19.58,22.91,-1.67,55.54,24.10,24.10,0.90,1.60,25.50,25.70,4.70,6.00,5.98,6.03,-15.03,-14.32,0.00,-0.21,-21.67,-26.60,13978.00,1.21,22913.00,1362.60,0.97,594.40,0.17,1102.80,0.06,86.50,0.09,9.63,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:01:00,22.89,20.90,19.58,22.88,-1.72,56.84,24.10,24.10,0.90,1.50,25.50,25.70,4.70,6.00,5.77,6.13,-15.54,-14.73,0.31,-0.21,-21.06,-23.84,13978.00,1.21,22913.00,1362.60,0.98,594.40,0.15,1102.80,0.06,86.50,0.09,9.74,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:02:00,22.89,20.90,19.49,23.91,-1.72,56.32,24.20,24.20,1.00,1.60,25.60,25.80,4.80,6.10,6.08,6.13,-16.15,-15.55,0.10,-0.32,-22.80,-23.12,13978.00,1.21,22913.00,1362.60,0.98,594.40,0.15,1102.80,0.06,86.50,0.09,9.73,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:03:00,22.89,20.90,19.58,22.91,-1.79,55.47,24.20,24.20,0.80,1.50,25.60,25.80,4.80,6.10,5.77,6.13,-15.54,-14.83,0.21,-0.11,-19.63,-21.38,13978.00,1.21,22913.00,1362.60,0.97,594.40,0.15,1102.80,0.06,86.50,0.09,9.63,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:04:00,22.89,20.90,19.58,22.91,-1.79,56.06,24.20,24.20,0.90,1.40,25.50,25.70,4.60,6.10,6.40,5.61,-15.84,-15.35,0.00,0.00,-21.47,-23.73,13978.00,1.21,22913.00,1362.60,0.97,594.40,2.27,1102.80,0.06,86.50,0.09,9.63,39.27,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:05:00,22.89,20.90,19.38,23.91,-1.79,57.23,24.10,24.10,0.90,1.50,25.50,25.70,4.60,6.00,5.87,6.03,-15.44,-15.14,0.10,-0.21,-22.49,-24.25,13978.00,1.21,22913.00,1362.60,0.96,594.40,0.15,1102.80,0.06,86.50,0.09,9.65,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:06:00,22.89,20.90,19.38,23.91,-1.79,57.40,24.10,24.10,0.80,1.40,25.50,25.70,4.60,5.90,5.87,6.13,-15.84,-14.83,0.10,-0.21,-20.85,-23.43,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.15,1102.80,0.06,86.50,0.09,9.63,39.27,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:07:00,22.89,20.90,19.38,23.91,-1.84,57.40,24.10,24.10,1.00,1.60,25.60,25.80,4.70,5.90,5.87,6.03,-16.36,-15.55,0.10,-0.42,-23.20,-25.47,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.15,1102.80,0.06,86.50,0.09,10.27,40.59,416.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:08:00,22.89,20.90,19.38,23.91,-1.87,56.59,24.10,24.10,0.80,1.40,25.50,25.70,4.60,5.90,5.87,5.92,-15.44,-14.83,0.10,-0.32,-23.00,-24.55,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.15,1102.80,0.06,86.50,0.09,9.65,39.27,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:09:00,22.89,20.90,19.38,22.88,-1.84,56.28,24.10,24.10,0.80,1.40,25.50,25.70,4.50,5.90,6.19,5.92,-15.64,-15.04,0.10,-0.21,-22.18,-25.17,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.15,1102.80,0.06,86.50,0.09,9.63,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:10:00,22.89,20.90,19.38,22.88,-1.92,56.57,24.20,24.20,0.90,1.60,25.60,25.80,4.60,6.00,5.77,5.92,-15.74,-14.83,0.42,-0.21,-20.85,-23.43,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.15,1102.80,0.06,86.60,0.09,9.63,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:11:00,22.89,20.90,19.49,22.91,-1.87,56.35,24.20,24.20,0.90,1.40,25.60,25.80,4.60,5.90,5.98,5.92,-15.44,-14.83,0.10,-0.11,-21.98,-25.17,13978.00,1.21,22913.00,1362.70,0.96,594.40,0.66,1102.80,0.06,86.60,0.09,9.63,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:12:00,22.89,20.90,19.49,22.91,-1.92,55.96,24.00,24.10,0.80,1.40,25.50,25.70,4.50,5.90,5.87,5.92,-15.44,-14.32,0.00,-0.11,-20.75,-23.22,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.15,1102.80,0.06,86.60,0.09,9.54,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:13:00,22.89,20.90,19.49,22.88,-1.87,55.18,24.20,24.20,0.90,1.60,25.60,25.80,4.60,5.90,6.08,6.13,-16.76,-16.27,0.10,-0.42,-25.04,-25.58,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.15,1102.80,0.06,86.60,0.09,9.55,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:14:00,22.89,20.90,19.49,22.91,-1.92,55.18,24.10,24.10,0.80,1.40,25.50,25.70,4.50,5.80,6.29,6.03,-16.36,-15.96,0.00,-0.32,-21.77,-23.22,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.15,1102.80,0.06,86.60,0.09,9.54,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:15:00,22.89,20.90,19.49,22.88,-1.92,54.98,24.10,24.10,0.70,1.40,25.50,25.70,4.60,5.90,6.29,5.92,-16.05,-15.75,0.21,-0.21,-21.16,-22.10,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.15,1102.80,0.06,86.60,0.09,9.54,39.29,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:16:00,22.89,20.90,19.49,22.91,-1.94,55.10,24.20,24.10,0.80,1.40,25.50,25.70,4.50,5.90,5.98,5.92,-15.54,-15.35,0.21,-0.11,-21.77,-22.92,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.24,1102.80,0.06,86.60,0.09,9.54,39.29,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:17:00,22.89,20.90,19.49,22.91,-1.92,55.18,24.10,24.10,0.80,1.40,25.50,25.70,4.40,5.70,6.40,5.82,-16.97,-16.37,0.10,-0.11,-23.41,-23.94,13978.00,1.21,22913.00,1362.80,0.97,594.50,0.22,1102.80,0.06,86.60,0.09,9.54,39.29,392.67,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:18:00,22.89,20.90,19.49,22.91,-1.92,54.98,24.10,24.10,0.80,1.40,25.50,25.70,4.40,5.70,5.66,6.24,-16.36,-15.86,0.10,-0.21,-19.93,-21.38,13978.00,1.21,22913.00,1362.90,0.97,594.50,0.28,1102.80,0.06,86.60,0.09,9.54,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:19:00,22.89,20.90,19.49,22.91,-1.94,54.81,24.10,24.10,0.70,1.40,25.50,25.70,4.40,5.70,5.87,6.03,-15.23,-14.53,0.10,-0.21,-18.91,-20.05,13978.00,1.21,22913.00,1362.90,0.97,594.50,0.26,1102.80,0.06,86.60,0.09,9.54,39.27,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:20:00,22.89,20.90,19.27,23.91,-1.97,54.98,24.10,24.10,0.80,1.40,25.50,25.70,4.40,5.70,5.87,6.03,-15.33,-14.83,0.10,-0.21,-22.39,-24.65,13978.00,1.21,22913.00,1362.90,0.97,594.50,0.27,1102.80,0.06,86.60,0.09,9.55,39.27,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:21:00,22.89,20.90,19.27,23.91,-1.97,54.66,24.10,24.10,0.90,1.50,25.50,25.70,4.40,5.60,5.98,5.82,-15.23,-14.83,0.10,-0.21,-23.72,-25.27,13978.00,1.21,22913.00,1362.90,0.97,594.50,0.27,1102.80,0.06,86.60,0.09,9.54,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:22:00,22.89,20.90,19.27,23.91,-1.97,54.44,24.10,24.10,0.90,1.60,25.60,25.80,4.50,5.80,6.08,6.35,-15.54,-15.45,0.10,-0.21,-20.14,-22.51,13978.00,1.21,22913.00,1362.90,0.97,594.50,0.29,1102.80,0.06,86.60,0.09,9.63,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:23:00,22.89,20.90,19.27,23.93,-1.94,54.52,24.10,24.20,0.90,1.60,25.40,25.70,4.40,5.70,6.08,6.13,-14.31,-14.12,-0.10,-0.32,-18.30,-21.59,13978.00,1.21,22913.00,1362.90,0.96,594.50,0.28,1102.80,0.06,86.60,0.09,9.54,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:24:00,22.91,20.90,19.27,23.91,-1.87,54.71,24.10,24.00,0.70,1.40,25.40,25.70,4.40,5.70,6.19,6.03,-14.82,-14.22,0.10,-0.11,-20.24,-22.20,13978.00,1.21,22913.00,1362.90,0.96,594.50,0.27,1102.80,0.06,86.60,0.09,9.54,39.29,391.70,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:25:00,22.89,20.90,19.38,23.91,-1.94,54.66,24.20,24.20,0.90,1.60,25.40,25.60,4.50,5.70,6.08,5.82,-14.82,-14.22,0.21,-0.32,-19.52,-21.38,13978.00,1.21,22913.00,1363.00,0.97,594.50,0.27,1102.80,0.06,86.60,0.09,9.63,39.29,391.21,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
2018-04-02 00:26:00,22.89,20.93,19.38,23.91,-1.87,55.57,24.20,24.20,0.90,1.50,25.60,25.80,4.60,5.90,6.19,6.03,-15.03,-14.42,0.10,-0.21,-20.75,-23.73,13978.00,1.21,22913.00,1363.00,0.97,594.50,0.27,1102.80,0.06,86.60,0.09,9.80,39.93,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,8.97
